idx,wavelength_nm,grating,filter,n_avg,settle_s,filename_npy,timestamp_unix
155,1510,2,5,5,2.0,00155_1510nm.npy,1772232717.3719919
156,1512,2,5,5,2.0,00156_1512nm.npy,1772232719.6548707
157,1514,2,5,5,2.0,00157_1514nm.npy,1772232721.9375763
158,1516,2,5,5,2.0,00158_1516nm.npy,1772232724.2445858
159,1518,2,5,5,2.0,00159_1518nm.npy,1772232726.5292525
160,1520,2,5,5,2.0,00160_1520nm.npy,1772232728.8115876
161,1522,2,5,5,2.0,00161_1522nm.npy,1772232731.1321828
162,1524,2,5,5,2.0,00162_1524nm.npy,1772232733.415234
163,1526,2,5,5,2.0,00163_1526nm.npy,1772232735.7000325
164,1528,2,5,5,2.0,00164_1528nm.npy,1772232737.9876552
165,1530,2,5,5,2.0,00165_1530nm.npy,1772232740.2733793
166,1532,2,5,5,2.0,00166_1532nm.npy,1772232742.557003
167,1534,2,5,5,2.0,00167_1534nm.npy,1772232744.841241
168,1536,2,5,5,2.0,00168_1536nm.npy,1772232747.1252809
169,1538,2,5,5,2.0,00169_1538nm.npy,1772232749.4082568
170,1540,2,5,5,2.0,00170_1540nm.npy,1772232751.691647
171,1542,2,5,5,2.0,00171_1542nm.npy,1772232753.9934213
172,1544,2,5,5,2.0,00172_1544nm.npy,1772232756.2771556
173,1546,2,5,5,2.0,00173_1546nm.npy,1772232758.5983367
174,1548,2,5,5,2.0,00174_1548nm.npy,1772232760.882061
175,1550,2,5,5,2.0,00175_1550nm.npy,1772232763.1634355
